[ 2025-07-07 19:20:15,967 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,989 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,009 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,028 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,051 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,072 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,097 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,120 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,159 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,182 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,209 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,234 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,252 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,279 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,299 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
